My rating,Original Title,Year
8,La grande bouffe,1973
8,The Leftovers,2014-2017
8,Marriage Story,2019
9,Mindhunter,2017-2019
5,I Tyrens tegn,1974
8,Tonari no Totoro,1988
7,,2021
9,Eung-dab-ha-ra 1988,2015-2016
5,I Jomfruens tegn,1973
9,Twin Peaks,1990-1991
8,Twin Peaks: Fire Walk with Me,1992
10,Westworld,2016-2022
8,Soul,2020
6,Private Teacher,1983
7,Parks and Recreation,2009-2015
8,The Venture Bros.,2003-2018
8,Beastars,2019
6,The Boss Baby: Family Business,2021
8,Jojo Rabbit,2019
8,Babylon,2022
6,Touche pas à la femme blanche,1973
7,Dillinger è morto,1968
6,Diario di un vizio,1993
7,Ciao maschio,1978
8,La dernière femme,1976
9,The Breakfast Club,1985
7,Storie di ordinaria follia,1981
8,The Booth at the End,2011-2012
7,To All the Boys I've Loved Before,2018
7,,2015
7,Final Space,2018-2021
6,Le gendarme en balade,1970
9,Triangle of Sadness,2022
7,Love and Monsters,2020
6,The Boss Baby,2017
7,Le grand blond avec une chaussure noire,1972
7,Les compères,1983
6,Asso,1981
6,Le gendarme de Saint-Tropez,1964
9,La chèvre,1981
5,Holidate,2020
8,Bluff storia di truffe e di imbroglioni,1976
5,Don't Look Deeper,2020
9,Samurai chanpurû,2004-2005
6,,2017
6,Moonwalkers,2015
6,Camille,2007
5,2001: A Space Travesty,2000
5,Masterminds,2015
,Parts Per Billion,2014
7,Snowden,2016
8,Stranger Things,2016
7,What Happened to Monday,2017
8,Despicable Me 2,2013
7,Pirates of the Caribbean: Dead Men Tell No Tales,2017
9,The Dark Knight Rises,2012
8,Pirates of the Caribbean: Dead Man's Chest,2006
8,Harry Potter and the Half-Blood Prince,2009
8,Pirates of the Caribbean: At World's End,2007
6,Ice Age: Continental Drift,2012
7,Pirates of the Caribbean: On Stranger Tides,2011
7,Minions,2015
8,Harry Potter and the Deathly Hallows: Part 2,2011
6,Uncharted,2022
8,Das Leben der Anderen,2006
7,,2007
8,Bakemono no ko,2015
7,Don't Look Up,2021
7,Mr. Robot,2015-2019
7,El hoyo,2019
8,Æon Flux,1991-1995
10,Death Note,2006-2007
7,The Old Guard,2020
6,Super-héros malgré lui,2021
7,Murder on the Orient Express,2017
6,Glass,2019
9,Le Fabuleux destin d'Amélie Poulain,2001
8,O Clone,2001-2002
8,Dune: Part One,2021
5,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2019
7,6 Underground,2019
7,Un conte de Noël,2008
6,Isn't It Romantic,2019
8,Traffic,2000
7,Murder Mystery,2019
7,Cruella,2021
7,Friends: The Reunion,2021
8,The Salt of the Earth,2014
8,The Animatrix,2003
7,,1973
8,Shrek 2,2004
8,One Hundred and One Dalmatians,1961
8,Paperman,2012
8,Partly Cloudy,2009
7,The Hunger Games: Mockingjay - Part 1,2014
7,The Matrix Revolutions,2003
7,Sideways,2004
8,Everything Everywhere All at Once,2021
1,The Room,2003
7,Seabiscuit,2003
7,The Simpsons Movie,2007
7,Noragami,2014-2015
7,The Queen,2005
8,Precious,2009
7,Michael Clayton,2007
8,Spider-Man: No Way Home,2021
7,Kiss Kiss Bang Bang,2005
5,F9,2021
7,Master and Commander: The Far Side of the World,2003
8,In the Bedroom,2001
8,The Hurt Locker,2008
9,Daria,1997-2002
8,The Hours,2002
8,Gangs of New York,2002
9,True Detective,2014
8,Frost/Nixon,2008
7,Crash,2004
6,Chicago,2002
